titles,preds
"Subtle, Natural and Socially Acceptable Interaction Techniques for Ringterfaces—Finger-Ring Shaped User Interfaces",8
AmbiKraf: a ubiquitous non-emissive color changing fabric display,28
BlogWall: social and cultural interaction for children,28
Mobile augmented reality for Bukit Brown cemetery navigation,22
dMarkers: ubiquitous dynamic makers for augmented reality,28
A multiuser multiperspective stereographic QTVR browser complemented by java3D visualizer and emulator,4
Back-seat driver: Spatial sound for vehicular way-finding and situation awareness,27
Phantom sources for separation of listening and viewing positions of multipresent avatars in narrowcasting collaborative virtual environments,25
Selective inductive powering system for paper computing,11
Poetry mix-up: a poetry generating system for cultural communication,22
Command Center: Authoring tool to supervise augmented reality session,26
Digital taste: electronic stimulation of taste sensations,25
Ambikraf: A nonemissive fabric display for fast changing textile animation,28
Designing cute interactive media,29
Science museum mixed reality digital media exhibitions for children,2
Ubiquitous shortcuts: mnemonics by just taking photos,11
A dynamic AR marker for a paper based temperature sensor,4
"Flexible, non-emissive textile display",8
An affective interactive audio interface for Lovotics,4
Discriminant analysis by multiple locally linear transformations,25
Computational fluid dynamic assisted control system design with applications to CPU chip cooling,16
Combination of document image binarization techniques,15
Multiple expert brainstorming for domain adaptive person re-identification,16
EMLight: Lighting Estimation via Spherical Distribution Approximation,28
Meta-DETR: Image-Level Few-Shot Detection with Inter-Class Correlation Exploitation,6
A self-training learning document binarization framework,4
Document image binarization using background estimation and stroke edges,2
Beyond Pixels: A Comprehensive Survey from Bottom-up to Semantic Image Segmentation and Cosegmentation,7
Text Flow: A Unified Text Detection System in Natural Scene Images,26
ESIR: End-to-End Scene Text Recognition via Iterative Image Rectification,28
Suppressing uncertainties for large-scale facial expression recognition,29
Accurate scene text recognition based on recurrent neural network,11
Blurred image region detection and classification,9
Ad-cluster: Augmented discriminative clustering for domain adaptive person re-identification,19
CAD-Net: A Context-Aware Detection Network for Objects in Remote Sensing Imagery,6
Spatial Fusion GAN for Image Synthesis,18
ICDAR2017 competition on reading chinese text in the wild (RCTW-17),11
Document image retrieval through word shape coding,2
Verisimilar image synthesis for accurate detection and recognition of texts in scenes,2
Multilingual scene character recognition with co-occurrence of histogram of oriented gradients,11
Perspective rectification of document images using fuzzy set and morphological operations,20
GA-DAN: Geometry-Aware Domain Adaptation Network for Scene Text Detection and Recognition,6
Multioriented video scene text detection through Bayesian classification and boundary growing,9
Accurate scene text detection through border semantics awareness and bootstrapping,11
Accurate recognition of words in scenes without character segmentation using recurrent neural network,11
Automated layer segmentation of optical coherence tomography images,9
Attention driven person re-identification,12
Robust and efficient saliency modeling from image co-occurrence histograms,8
Discriminative multi-modal feature fusion for rgbd indoor scene recognition,25
Icdar2019 competition on scanned receipt ocr and information extraction,23
Accurate and Efficient Traffic Sign Detection Using Discriminative Adaboost and Support Vector Regression,8
MSR: Multi-Scale Shape Regression for Scene Text Detection,10
WeText: Scene Text Detection under Weak Supervision,28
Unbalanced Feature Transport for Exemplar-based Image Translation,18
Script and language identification in noisy and degraded document images,21
Contextual-relation consistent domain adaptation for semantic segmentation,27
Gradient vector flow and grouping-based method for arbitrarily oriented scene text detection in video images,11
Binarization of badly illuminated document images through shading estimation and compensation,15
Towards Natural and Accurate Future Motion Prediction of Humans and Animals,7
Scene text recognition using co-occurrence of histogram of oriented gradients,25
Convex hull based neuro-retinal optic cup ellipse optimization in glaucoma diagnosis,22
Tornado: A spatio-temporal convolutional regression network for video action proposal,28
FSDR: Frequency Space Domain Randomization for Domain Generalization,28
Cascade ef-gan: Progressive facial expression editing with local focuses,22
Saliency modeling from image histograms,2
The restoration of camera documents through image segmentation,24
YoTube: Searching action proposal via recurrent and static regression networks,28
Adversarial Image Composition with Auxiliary Illumination,18
Icdar 2019 robust reading challenge on reading chinese text on signboard,10
Unsupervised feature learning for land-use scene recognition,9
An effective staff detection and removal technique for musical documents,4
Document flattening through grid modeling and regularization,22
New spatial-gradient-features for video script identification,16
Video script identification based on text lines,2
Scene text synthesis for efficient and effective deep network training,25
Spatial-aware gan for unsupervised person re-identification,27
DeepFisheye: Near-surface multi-finger tracking technology using fisheye camera,28
Object-level motion detection from moving cameras,19
Scale variance minimization for unsupervised domain adaptation in image segmentation,2
S-CNN: Subcategory-aware convolutional networks for object detection,6
Enriched deep recurrent visual attention model for multiple object recognition,9
Scene text extraction based on edges and support vector regression,25
MatchGAN: a self-supervised semi-supervised conditional generative adversarial network,28
Automatic detection of document script and orientation,11
Analytically compensated physical model of a steam generator with non-minimum phase level response,1
Fast and accurate detection of document skew and orientation,8
Automatic macula detection from retinal images by a line operator,11
Multimodal Image Synthesis and Editing: A Survey,26
A fast keyword-spotting technique,4
Marginal Contrastive Correspondence for Guided Image Generation,18
SynLiDAR: Learning From Synthetic LiDAR Sequential Point Cloud for Semantic Segmentation,28
"Laplacian sparse coding, hypergraph laplacian sparse coding, and applications",25
LEED: Label-Free Expression Editing via Disentanglement,28
A bag of words based approach for classification of HEp-2 cell images,4
Gmlight: Lighting estimation via geometric distribution approximation,28
Uncertainty-aware unsupervised domain adaptation in object detection,12
A learning framework for degraded document image binarization using Markov random field,4
Part-aware Progressive Unsupervised Domain Adaptation for Person Re-Identification,19
A Similarity Inference Metric for RGB-Infrared Cross-Modality Person Re-identification,4
A partition approach for the restoration of camera images of planar and curled document,4
